No,Topics,Terms
1,video,"video, watch, record, sound, portrait, fullscreen, landscape, stream, caption, resolution"
2,like,"good, nice, ok, cool, smile, fine, favourite, like, love, amazing, happy, thank you, thumb up, best, great, perfect, brilliant, support, supper, awesome, wonderful, magic, power, charming, easy, satisfy, wow, greatful, immediately, enjoy, five star"
3,bug,"fix, bug, help, please, problem, issue, wrong, error, unexpect, disappear, malfunction"
4,photo,"photo, album, image, cover, border, thumbnails, upload, filter, edit, camera, profile"
5,theme,"dark mode, wallpaper, theme, colour, creative, customize, background, ui"
6,bias,"israel, palestine, spread, muslim, politic, checker, bias, fact, human rights, violation, voice, feelings, offensive, criminal, freedom of speech, fake, philippines, policy, rule, country, opinion, breach, horrible"
7,version,"latest version, update, uninstall, download, delete, upgrade, downgrade, software, old version, new, release, reinstall, dont work, restart, new features"
8,font,"zawgyi, font, size, tiny, thin"
9,screen smoothness,"lag, slow, sluggish, crash, freeze, restart, reboot, sync, stop, break, broken, hang, blank, screen"
10,conversation,"message, communicate, chat, family, friend, connect, society, contact, keep in touch, conversation, message, text, husband, wife, type, reply, translate, detect, language, international, country, send, offline, online, status, friendship"
11,user support,"response, user support, email, feedback, report, customer support, service, email, action, send, complain"
12,hotspot,"nearby people cannot add, unblock, block"
13,connection,"data, usage, high, wifi, internet, slow, connection, fast"
14,search function,"search, find, explore, result"
15,advertisement,"advertisement, annoy, premium, money, watch, too much, skip"
16,voting function,"poll, vote, member, admin, disable, rule"
17,video/voice call,"call, ring, accident, drop, video chat, cant hear"
18,notification,"notify, notification, bother, annoy, follow, request, live, sync"
19,scam,"scam, steal, fell, phishing, block, retrieve, account, hack, afraid, fake"
20,post,"post, older, caption, comment, tag, follower, story, share, response"
21,media,"file, pdf, microsoft, document, upload, download, media, missing, disappear, picture, video, music, camera, archive, folder"
22,tracking algorithm,"algorithm, chronic, downhill"
23,account,"login, logout, account, sign in, sign out, password, lock, forget, access"
24,entertainment,"entertainment, sharing, post, chat, memory, news"
25,security,"security, data protection, privacy, data collection, monitoring"
26,dating,"dating, relationship, girl, girlfriend, boyfriend, marry"
27,dislike,"overwhelmed, frustrate, glitch, disappoint, sad, annoy, bad, not user friendly, suck, cheap, poor, hassle, harm, stupid, hate, regret, shame, serious, piss, strange, complex, disgusting, coddler, delete, boring, greedy, disturb, sorry, one star, horrible, troublesome, useless, struggle"
28,audio,"sound, hear, voice, call, music, video, silent, record, audio, mic, mute"
29,storage,"storage, space, full, capacity, clean, not enough, delete"
30,sticker,"sticker, emoji, emoticon, effect, option, react"
31,battery,"battery life, battery, waste, reduce, usage, conserve, drain"
32,game,"game, fun, play"
